,Stocks,Bonds,Gold
2015-04-01,2059.69,75.778,1204.0
2015-04-02,2066.96,75.674,1202.6
2015-04-03,2066.96,75.674,1202.6
2015-04-04,2066.96,75.674,1202.6
2015-04-05,2066.96,75.674,1202.6
2015-04-06,2080.62,75.738,1214.6
2015-04-07,2076.33,75.787,1208.3
2015-04-08,2081.9,75.729,1202.6
2015-04-09,2091.18,75.56,1194.2
2015-04-10,2102.06,75.524,1207.4
2015-04-11,2102.06,75.524,1207.4
2015-04-12,2102.06,75.524,1207.4
2015-04-13,2092.43,75.542,1198.6
2015-04-14,2095.84,75.683,1192.1
2015-04-15,2106.63,75.758,1201.6
2015-04-16,2104.99,75.738,1198.0
2015-04-17,2081.18,75.866,1203.8
2015-04-18,2081.18,75.866,1203.8
2015-04-19,2081.18,75.866,1203.8
2015-04-20,2100.4,75.787,1195.8
2015-04-21,2097.29,75.692,1202.0
2015-04-22,2107.96,75.414,1186.7
2015-04-23,2112.93,75.552,1193.1
2015-04-24,2117.69,75.674,1178.5
2015-04-25,2117.69,75.674,1178.5
2015-04-26,2117.69,75.674,1178.5
2015-04-27,2108.92,75.615,1201.2
2015-04-28,2114.76,75.389,1211.4
2015-04-29,2106.85,75.143,1204.1
2015-04-30,2085.51,75.228,1183.4
2015-05-01,2108.29,75.001,1177.4
2015-05-02,2108.29,75.001,1177.4
2015-05-03,2108.29,75.001,1177.4
2015-05-04,2114.49,74.895,1187.4
2015-05-05,2089.46,74.772,1192.5
2015-05-06,2080.15,74.564,1190.8
2015-05-07,2088.0,74.717,1183.7
2015-05-08,2116.1,74.923,1187.6
2015-05-09,2116.1,74.923,1187.6
2015-05-10,2116.1,74.923,1187.6
2015-05-11,2105.33,74.528,1183.0
2015-05-12,2099.12,74.442,1192.6
2015-05-13,2098.48,74.403,1214.7
2015-05-14,2121.1,74.548,1220.9
2015-05-15,2122.73,74.849,1223.6
2015-05-16,2122.73,74.849,1223.6
2015-05-17,2122.73,74.849,1223.6
2015-05-18,2129.2,74.573,1225.3
2015-05-19,2127.83,74.412,1207.6
2015-05-20,2125.85,74.412,1209.3
2015-05-21,2130.82,74.643,1206.2
2015-05-22,2126.06,74.6,1205.7
2015-05-23,2126.06,74.6,1205.7
2015-05-24,2126.06,74.6,1205.7
2015-05-25,,,1207.4
2015-05-26,2104.2,74.782,1188.0
2015-05-27,2123.48,74.819,1188.2
2015-05-28,2120.79,74.829,1188.6
2015-05-29,2107.39,74.858,1190.7
2015-05-30,2107.39,74.858,1190.7
2015-05-31,2107.39,74.858,1190.7
2015-06-01,2111.73,74.606,1189.5
2015-06-02,2109.6,74.398,1193.3
2015-06-03,2114.07,74.067,1185.4
2015-06-04,2095.84,74.249,1176.4
2015-06-05,2092.83,73.96,1171.3
2015-06-06,2092.83,73.96,1171.3
2015-06-07,2092.83,73.96,1171.3
2015-06-08,2079.28,74.051,1173.2
2015-06-09,2080.15,73.832,1175.8
2015-06-10,2105.2,73.674,1185.2
2015-06-11,2108.86,74.024,1181.4
2015-06-12,2094.11,73.97,1180.9
2015-06-13,2094.11,73.97,1180.9
2015-06-14,2094.11,73.97,1180.9
2015-06-15,2084.43,73.98,1185.7
2015-06-16,2096.29,74.17,1181.1
2015-06-17,2100.44,74.196,1184.5
2015-06-18,2121.24,74.141,1201.5
2015-06-19,2109.99,74.35,1199.9
2015-06-20,2109.99,74.35,1199.9
2015-06-21,2109.99,74.35,1199.9
2015-06-22,2122.85,73.997,1185.5
2015-06-23,2124.2,73.824,1177.6
2015-06-24,2108.58,73.96,1174.4
2015-06-25,2102.31,73.86,1172.4
2015-06-26,2101.49,73.723,1174.8
2015-06-27,2101.49,73.723,1174.8
2015-06-28,2101.49,73.723,1174.8
2015-06-29,2057.64,74.095,1179.7
2015-06-30,2063.11,74.024,1172.2
2015-07-01,2077.42,73.844,1167.8
2015-07-02,2076.78,74.027,1165.3
2015-07-03,,,1167.8
2015-07-04,,,1167.8
2015-07-05,,,1167.8
2015-07-06,2068.76,74.28,1169.4
2015-07-07,2081.34,74.354,1154.3
2015-07-08,2046.68,74.565,1157.3
2015-07-09,2051.31,74.317,1158.8
2015-07-10,2076.62,73.973,1162.6
2015-07-11,2076.62,73.973,1162.6
2015-07-12,2076.62,73.973,1162.6
2015-07-13,2099.6,73.8,1156.9
2015-07-14,2108.95,73.936,1154.4
2015-07-15,2107.4,74.145,1148.2
2015-07-16,2124.29,74.145,1143.7
2015-07-17,2126.64,74.155,1133.1
2015-07-18,2126.64,74.155,1133.1
2015-07-19,2126.64,74.155,1133.1
2015-07-20,2128.28,74.054,1096.6
2015-07-21,2119.21,74.191,1100.1
2015-07-22,2114.15,74.216,1093.0
2015-07-23,2102.15,74.392,1089.4
2015-07-24,2079.65,74.441,1098.4
2015-07-25,2079.65,74.441,1098.4
2015-07-26,2079.65,74.441,1098.4
2015-07-27,2067.64,74.583,1093.9
2015-07-28,2093.25,74.457,1095.1
2015-07-29,2108.57,74.392,1096.2
2015-07-30,2108.63,74.421,1087.8
2015-07-31,2103.84,74.671,1094.9
2015-08-01,2103.84,74.671,1094.9
2015-08-02,2103.84,74.671,1094.9
2015-08-03,2098.04,74.849,1085.7
2015-08-04,2093.32,74.59,1087.2
2015-08-05,2099.84,74.473,1084.1
2015-08-06,2083.56,74.519,1088.9
2015-08-07,2077.57,74.67,1093.3
2015-08-08,2077.57,74.67,1093.3
2015-08-09,2077.57,74.67,1093.3
2015-08-10,2104.18,74.519,1103.8
2015-08-11,2084.07,74.802,1108.2
2015-08-12,2086.05,74.772,1124.9
2015-08-13,2083.39,74.619,1114.3
2015-08-14,2091.54,74.59,1114.2
2015-08-15,2091.54,74.59,1114.2
2015-08-16,2091.54,74.59,1114.2
2015-08-17,2102.44,74.727,1116.8
2015-08-18,2096.92,74.59,1117.1
2015-08-19,2079.61,74.858,1133.6
2015-08-20,2035.73,74.923,1152.5
2015-08-21,1970.89,75.038,1160.5
2015-08-22,1970.89,75.038,1160.5
2015-08-23,1970.89,75.038,1160.5
2015-08-24,1893.21,75.021,1154.3
2015-08-25,1867.61,74.772,1140.1
2015-08-26,1940.51,74.455,1124.6
2015-08-27,1987.66,74.554,1124.8
2015-08-28,1988.87,74.59,1132.9
2015-08-29,1988.87,74.59,1132.9
2015-08-30,1988.87,74.59,1132.9
2015-08-31,1972.18,74.492,1133.9
2015-09-01,1913.85,74.669,1139.3
2015-09-02,1948.86,74.618,1133.2
2015-09-03,1951.13,74.669,1124.5
2015-09-04,1921.22,74.857,1120.9
2015-09-05,1921.22,74.857,1120.9
2015-09-06,1921.22,74.857,1120.9
2015-09-07,,,1118.1
2015-09-08,1969.41,74.669,1120.9
2015-09-09,1942.04,74.651,1105.4
2015-09-10,1952.29,74.5,1110.2
2015-09-11,1961.05,74.651,1106.8
2015-09-12,1961.05,74.651,1106.8
2015-09-13,1961.05,74.651,1106.8
2015-09-14,1953.03,74.669,1107.6
2015-09-15,1978.09,74.359,1104.4
2015-09-16,1995.31,74.313,1118.4
2015-09-17,1990.2,74.735,1130.2
2015-09-18,1958.03,74.95,1138.3
2015-09-19,1958.03,74.95,1138.3
2015-09-20,1958.03,74.95,1138.3
2015-09-21,1966.97,74.669,1132.7
2015-09-22,1942.74,74.81,1123.9
2015-09-23,1938.76,74.81,1129.6
2015-09-24,1932.24,74.838,1153.4
2015-09-25,1931.34,74.696,1145.8
2015-09-26,1931.34,74.696,1145.8
2015-09-27,1931.34,74.696,1145.8
2015-09-28,1881.77,74.894,1131.4
2015-09-29,1884.09,74.95,1126.8
2015-09-30,1920.03,75.092,1114.3
2015-10-01,1923.82,75.129,1112.8
2015-10-02,1951.36,75.423,1137.9
2015-10-03,1951.36,75.423,1137.9
2015-10-04,1951.36,75.423,1137.9
2015-10-05,1987.05,75.121,1135.2
2015-10-06,1979.92,75.225,1146.8
2015-10-07,1995.83,75.225,1144.9
2015-10-08,2013.43,75.104,1138.4
2015-10-09,2014.89,75.095,1155.4
2015-10-10,2014.89,75.095,1155.4
2015-10-11,2014.89,75.095,1155.4
2015-10-12,2017.46,75.225,1163.4
2015-10-13,2003.69,75.273,1168.5
2015-10-14,1994.24,75.543,1183.9
2015-10-15,2023.86,75.404,1183.0
2015-10-16,2033.11,75.376,1176.8
2015-10-17,2033.11,75.376,1176.8
2015-10-18,2033.11,75.376,1176.8
2015-10-19,2033.66,75.376,1170.4
2015-10-20,2030.77,75.255,1175.9
2015-10-21,2018.94,75.395,1166.9
2015-10-22,2052.51,75.515,1165.9
2015-10-23,2075.15,75.331,1164.1
2015-10-24,2075.15,75.331,1164.1
2015-10-25,2075.15,75.331,1164.1
2015-10-26,2071.18,75.413,1163.6
2015-10-27,2065.89,75.432,1167.2
2015-10-28,2090.35,75.215,1157.2
2015-10-29,2089.41,74.954,1146.1
2015-10-30,2079.36,75.113,1141.8
2015-10-31,2079.36,75.113,1141.8
2015-11-01,2079.36,75.113,1141.8
2015-11-02,2104.05,74.97,1133.3
2015-11-03,2109.79,74.841,1117.1
2015-11-04,2102.31,74.888,1107.0
2015-11-05,2099.93,74.746,1103.1
2015-11-06,2099.2,74.455,1088.9
2015-11-07,2099.2,74.455,1088.9
2015-11-08,2099.2,74.455,1088.9
2015-11-09,2078.58,74.389,1091.3
2015-11-10,2081.72,74.472,1088.7
2015-11-11,2075.0,74.481,1085.5
2015-11-12,2045.97,74.491,1084.5
2015-11-13,2023.04,74.626,1083.1
2015-11-14,2023.04,74.626,1083.1
2015-11-15,2023.04,74.626,1083.1
2015-11-16,2053.19,74.626,1081.8
2015-11-17,2050.44,74.708,1069.2
2015-11-18,2083.58,74.67,1069.7
2015-11-19,2081.24,74.774,1081.3
2015-11-20,2089.17,74.755,1077.0
2015-11-21,2089.17,74.755,1077.0
2015-11-22,2089.17,74.755,1077.0
2015-11-23,2086.59,74.784,1068.3
2015-11-24,2089.14,74.812,1075.1
2015-11-25,2088.87,74.821,1070.5
2015-11-26,,,1070.9
2015-11-27,2090.11,74.86,1055.9
2015-11-28,2090.11,74.86,1055.9
2015-11-29,2090.11,74.86,1055.9
2015-11-30,2080.41,74.821,1063.9
2015-12-01,2102.63,75.101,1068.4
2015-12-02,2079.51,75.013,1052.6
2015-12-03,2049.62,74.434,1061.2
2015-12-04,2091.69,74.725,1085.7
2015-12-05,2091.69,74.725,1085.7
2015-12-06,2091.69,74.725,1085.7
2015-12-07,2077.07,74.857,1070.5
2015-12-08,2063.59,74.875,1074.2
2015-12-09,2047.62,74.848,1072.1
2015-12-10,2052.23,74.838,1070.9
2015-12-11,2012.37,75.038,1074.0
2015-12-12,2012.37,75.038,1074.0
2015-12-13,2012.37,75.038,1074.0
2015-12-14,2021.94,74.686,1059.4
2015-12-15,2043.41,74.606,1060.4
2015-12-16,2073.07,74.524,1071.7
2015-12-17,2041.89,74.677,1050.3
2015-12-18,2005.55,74.848,1065.3
2015-12-19,2005.55,74.848,1065.3
2015-12-20,2005.55,74.848,1065.3
2015-12-21,2021.15,74.762,1077.7
2015-12-22,2038.97,74.659,1071.8
2015-12-23,2064.29,74.667,1069.7
2015-12-24,2060.99,74.725,1075.6
2015-12-25,2060.99,74.725,1075.6
2015-12-26,2060.99,74.725,1075.6
2015-12-27,2060.99,74.725,1075.6
2015-12-28,2056.5,74.725,1068.3
2015-12-29,2078.36,74.496,1068.4
2015-12-30,2063.36,74.543,1060.6
2015-12-31,2043.94,74.686,1060.4
2016-01-01,2043.94,74.686,1060.4
2016-01-02,2043.94,74.686,1060.4
2016-01-03,2043.94,74.686,1060.4
2016-01-04,2012.66,74.654,1074.0
2016-01-05,2016.71,74.743,1076.9
2016-01-06,1990.26,75.075,1093.2
2016-01-07,1943.09,75.085,1108.7
2016-01-08,1922.03,75.177,1103.9
2016-01-09,1922.03,75.177,1103.9
2016-01-10,1922.03,75.177,1103.9
2016-01-11,1923.67,74.867,1093.8
2016-01-12,1938.68,75.057,1086.9
2016-01-13,1890.28,75.245,1093.4
2016-01-14,1921.84,75.168,1078.2
2016-01-15,1880.33,75.292,1088.6
2016-01-16,1880.33,75.292,1088.6
2016-01-17,1880.33,75.292,1088.6
2016-01-18,,,1088.9
2016-01-19,1881.33,75.186,1087.2
2016-01-20,1859.33,75.273,1101.0
2016-01-21,1868.99,75.225,1101.4
2016-01-22,1906.9,75.196,1098.1
2016-01-23,1906.9,75.196,1098.1
2016-01-24,1906.9,75.196,1098.1
2016-01-25,1877.08,75.215,1108.1
2016-01-26,1903.63,75.311,1119.9
2016-01-27,1882.95,75.311,1124.7
2016-01-28,1893.36,75.367,1114.3
2016-01-29,1940.24,75.583,1117.6
2016-01-30,1940.24,75.583,1117.6
2016-01-31,1940.24,75.583,1117.6
2016-02-01,1939.38,75.436,1128.6
2016-02-02,1903.03,75.693,1129.4
2016-02-03,1912.53,75.749,1143.1
2016-02-04,1915.45,75.806,1156.0
2016-02-05,1880.05,75.73,1174.3
2016-02-06,1880.05,75.73,1174.3
2016-02-07,1880.05,75.73,1174.3
2016-02-08,1853.44,76.066,1189.5
2016-02-09,1852.21,76.041,1189.4
2016-02-10,1851.86,76.204,1197.5
2016-02-11,1829.08,76.251,1247.1
2016-02-12,1864.78,75.994,1238.4
2016-02-13,1864.78,75.994,1238.4
2016-02-14,1864.78,75.994,1238.4
2016-02-15,,,1209.6
2016-02-16,1895.58,75.889,1200.9
2016-02-17,1926.82,75.87,1208.9
2016-02-18,1917.83,76.127,1231.4
2016-02-19,1917.78,76.021,1226.6
2016-02-20,1917.78,76.021,1226.6
2016-02-21,1917.78,76.021,1226.6
2016-02-22,1945.5,76.041,1209.0
2016-02-23,1921.27,76.09,1226.1
2016-02-24,1929.8,76.146,1229.4
2016-02-25,1951.7,76.26,1233.8
2016-02-26,1948.05,76.185,1223.3
2016-02-27,1948.05,76.185,1223.3
2016-02-28,1948.05,76.185,1223.3
2016-02-29,1932.23,76.233,1239.3
2016-03-01,1978.35,75.972,1232.7
2016-03-02,1986.45,75.927,1240.6
2016-03-03,1993.4,75.963,1265.0
2016-03-04,1999.99,75.927,1259.9
2016-03-05,1999.99,75.927,1259.9
2016-03-06,1999.99,75.927,1259.9
2016-03-07,2001.76,75.911,1268.0
2016-03-08,1979.26,76.161,1262.1
2016-03-09,1989.26,76.026,1253.9
2016-03-10,1989.57,75.99,1273.1
2016-03-11,2022.19,75.894,1251.4
2016-03-12,2022.19,75.894,1251.4
2016-03-13,2022.19,75.894,1251.4
2016-03-14,2019.64,76.056,1236.0
2016-03-15,2015.93,75.982,1233.1
2016-03-16,2027.22,76.285,1260.8
2016-03-17,2040.59,76.446,1259.8
2016-03-18,2049.58,76.51,1256.0
2016-03-19,2049.58,76.51,1256.0
2016-03-20,2049.58,76.51,1256.0
2016-03-21,2051.6,76.375,1244.1
2016-03-22,2049.8,76.358,1248.0
2016-03-23,2036.71,76.519,1222.7
2016-03-24,2035.94,76.426,1216.7
2016-03-25,2035.94,76.426,1216.7
2016-03-26,2035.94,76.426,1216.7
2016-03-27,2035.94,76.426,1216.7
2016-03-28,2037.05,76.462,1221.5
2016-03-29,2055.01,76.786,1244.2
2016-03-30,2063.95,76.757,1227.4
2016-03-31,2059.74,76.896,1233.6
2016-04-01,2072.78,76.988,1224.3
2016-04-02,2072.78,76.988,1224.3
2016-04-03,2072.78,76.988,1224.3
