,Stocks,Bonds,Gold
2015-04-01,565759488.0,3452545.0,160247.0
2015-04-02,484746336.0,871980.0,122682.0
2015-04-03,484746336.0,871980.0,122682.0
2015-04-04,484746336.0,871980.0,122682.0
2015-04-05,484746336.0,871980.0,122682.0
2015-04-06,603851840.0,1949393.0,115079.0
2015-04-07,436572576.0,1077244.0,91250.0
2015-04-08,488315552.0,3825055.0,122661.0
2015-04-09,473787104.0,1130037.0,115894.0
2015-04-10,467432128.0,4728115.0,133490.0
2015-04-11,467432128.0,4728115.0,133490.0
2015-04-12,467432128.0,4728115.0,133490.0
2015-04-13,489921632.0,6663737.0,114999.0
2015-04-14,450254752.0,1540735.0,171995.0
2015-04-15,562067456.0,1126828.0,142443.0
2015-04-16,494806784.0,1421564.0,168517.0
2015-04-17,661866240.0,1866735.0,123296.0
2015-04-18,661866240.0,1866735.0,123296.0
2015-04-19,661866240.0,1866735.0,123296.0
2015-04-20,481935744.0,2715173.0,144092.0
2015-04-21,486210336.0,1970584.0,112054.0
2015-04-22,508085472.0,1654597.0,165034.0
2015-04-23,568902400.0,6081385.0,123533.0
2015-04-24,555465408.0,1761035.0,169234.0
2015-04-25,555465408.0,1761035.0,169234.0
2015-04-26,555465408.0,1761035.0,169234.0
2015-04-27,593635072.0,1753879.0,228167.0
2015-04-28,549880064.0,1342065.0,163934.0
2015-04-29,550950656.0,2099720.0,147107.0
2015-04-30,686724416.0,4661771.0,221230.0
2015-05-01,509691456.0,7890437.0,133835.0
2015-05-02,509691456.0,7890437.0,133835.0
2015-05-03,509691456.0,7890437.0,133835.0
2015-05-04,458729024.0,1308987.0,118177.0
2015-05-05,532262944.0,4593111.0,120053.0
2015-05-06,552811392.0,4332707.0,120231.0
2015-05-07,523893312.0,3963187.0,169485.0
2015-05-08,524564448.0,1909359.0,176748.0
2015-05-09,524564448.0,1909359.0,176748.0
2015-05-10,524564448.0,1909359.0,176748.0
2015-05-11,467078912.0,1021998.0,164374.0
2015-05-12,468967040.0,2353492.0,171346.0
2015-05-13,474021408.0,2609167.0,283116.0
2015-05-14,478213216.0,1633706.0,196145.0
2015-05-15,609172416.0,1543000.0,149243.0
2015-05-16,609172416.0,1543000.0,149243.0
2015-05-17,609172416.0,1543000.0,149243.0
2015-05-18,444882912.0,4122446.0,140652.0
2015-05-19,494077216.0,5342131.0,208227.0
2015-05-20,477979008.0,4507049.0,154499.0
