,ABT,ACT,ADA,ADX,AE,AGI,AION,AMB,ANT,ARDR,ARK,AST,AUTO,BAT,BAY,BCD,BCH,BCN,BCO,BIS,BIX,BLOCK,BLZ,BNB,BNT,BOS,BTC,BTCD,BTCP,BTG,BTM,BTS,BTX,C20,CENNZ,CLOAK,CMT,CND,CNX,CS,CVC,DASH,DATA,DBC,DCN,DCR,DDD,DENT,DEW,DGB,DGD,DOGE,DRGN,DROP,DTA,DTR,EDG,EDO,ELA,ELF,EMC,ENG,ENJ,EOS,ETC,ETH,ETHOS,ETN,EVN,FCT,FSN,FUN,GAME,GAS,GBYTE,GNO,GNT,GNX,GRS,GTO,GVT,GXS,HPB,HSR,ICN,ICX,IGNIS,ION,IOST,ITC,KCS,KIN,KMD,KNC,LEND,LINK,LOOM,LRC,LSK,LTC,MAID,MAN,MANA,MCO,MED,MIOTA,MITH,MKR,MNX,MONA,MTL,NANO,NAS,NAV,NCASH,NEBL,NEO,NULS,NXS,NXT,OMG,ONT,OST,PART,PAY,PAYX,PIVX,PLR,POA,POE,POLY,POWR,PPC,PPP,PPT,PRL,PURA,QASH,QRL,QSP,QTUM,R,RCN,RDD,RDN,REP,REQ,RHOC,RLC,RUFF,SALT,SAN,SC,SKY,SLS,SMART,SMT,SNGLS,SNM,SNT,SPANK,SPHTX,SRN,STEEM,STORJ,STORM,STRAT,SUB,SYS,TEL,THETA,TKY,TNB,TRX,UBQ,USDT,UTNP,VEE,VEN,VERI,VTC,WAN,WAVES,WAX,WTC,XAS,XDN,XEM,XIN,XLM,XMR,XP,XRP,XVG,XZC,ZEC,ZEN,ZIL,ZRX
2016-03-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.8883967719472,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.050683581333760455,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.020757424677593925,0.0032698504993161066,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.03689237154212951,0.0,,,,,
2016-04-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.8329595556042035,0.0,,,,0.0,,,,0.0,,,,,,0.004903808213418453,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.10749312693828529,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.019112353034706358,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.03553115620938641,0.0,,,,,
2016-05-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.8569923158693007,0.0,,,,0.0,,,,0.0,,,,,,0.005169011807722924,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.08705870978336684,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.019939189370645313,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.030840773168964167,0.0,,,,,
2016-06-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.8402947162695693,0.0,,,,0.0,,,,0.0,,,,,,0.00553819812629979,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.10817825823760144,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.021564907228498614,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.024423920138030908,0.0,,,,,
2016-07-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.861503752450466,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.09643891036065771,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.01828293368211449,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.004337788727626177,,0.0,0.0,,0.019436614779135605,0.0,,,,,
2016-08-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.8617517735847281,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.08529443592634327,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.016246848539844552,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.018033395985380382,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.018673545963703634,0.0,,,,,
2016-09-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.8615281887056493,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.08716412296786957,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.01655847113966862,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.014709684050708424,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.020039533136104085,0.0,,,,,
2016-10-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.8555696247247675,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.09456683357154223,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.016349337056812414,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.010744868478507889,0.0,0.022769336168370003,0.0,0.0,0.0,,,
2016-11-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.868224468672654,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.007536319060023639,0.08418691366355681,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.01568676129446622,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.024365537309299315,0.0,0.0,0.0,,,
2016-12-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.891486797059717,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.06561470866817491,,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.01464861646024855,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.007372032396327114,0.0,0.020877845415532507,0.0,0.0,0.0,,,
2017-01-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.9149301487915543,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.04681739388841885,,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.013328596113701408,0.0,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.008951448336965684,0.0,0.01597241286935973,0.0,0.0,0.0,,,
