,market,t10-wm-rm,t10-wms-rm,t5-we-rm,t5-wm-rm,t5-wsm-rm,t5-wm-rm-f1c30,t10-wm-rm-f1c30,t10-wm-rm-f2c50,t10-wm-rm-f5
market,1.0,0.9936,0.9935,0.7955,0.991,0.9909,0.8426,0.8791,0.9505,0.9605
t10-wm-rm,0.9936,1.0,0.9979,0.7955,0.9987,0.9966,0.8447,0.8793,0.9529,0.9615
t10-wms-rm,0.9935,0.9979,1.0,0.7853,0.9968,0.9989,0.8331,0.8696,0.948,0.9583
t5-we-rm,0.7955,0.7955,0.7853,1.0,0.7877,0.7783,0.9671,0.9386,0.8784,0.8583
t5-wm-rm,0.991,0.9987,0.9968,0.7877,1.0,0.9978,0.8392,0.8697,0.9471,0.951
t5-wsm-rm,0.9909,0.9966,0.9989,0.7783,0.9978,1.0,0.8277,0.8604,0.9423,0.9484
t5-wm-rm-f1c30,0.8426,0.8447,0.8331,0.9671,0.8392,0.8277,1.0,0.9835,0.9346,0.881
t10-wm-rm-f1c30,0.8791,0.8793,0.8696,0.9386,0.8697,0.8604,0.9835,1.0,0.9717,0.9255
t10-wm-rm-f2c50,0.9505,0.9529,0.948,0.8784,0.9471,0.9423,0.9346,0.9717,1.0,0.9665
t10-wm-rm-f5,0.9605,0.9615,0.9583,0.8583,0.951,0.9484,0.881,0.9255,0.9665,1.0
